,ticker,figi,type,name,country_of_rick
404,MMSI,BBG000C42VX0,shares,MerIt Medical Systems Inc,US
405,AG,BBG000CH7WB8,shares,First Majestic Silver Corp,CA
406,BL,BBG0029KJVB0,shares,Blackline Inc,US
407,RHI,BBG000BS5DR2,shares,Robert Half,US
408,INGN,BBG0021PH456,shares,Inogen Inc,US
409,9696,BBG018KZQ6K7,shares,Tianqi Lithium Corporation,CN
410,SAVE,BBG000BF6RQ9,shares,Spirit Airlines Inc,US
411,12,BBG000BDWF36,shares,Henderson Land,CN
412,SIGA,BBG000BKXWV1,shares,SIGA Technologies,US
413,2388,BBG000F6F1G3,shares,Bank of China (Hong Kong),HK
414,QRVO,BBG007TJF1N7,shares,Qorvo,US
415,THG,BBG000FJH8W0,shares,Hanover Insurance Group,US
416,CG,BBG000BH3F20,shares,Carlyle Group,US
417,CPAY,TCS199481068,shares,"Corpay, Inc.",US
418,ENPH,BBG001R3MNY9,shares,Enphase Energy Inc,US
419,BILL,BBG00QVJV6V4,shares,Bill.com Holdings Inc,US
420,HYLN,BBG00N9MJTZ9,shares,Hyliion Holdings Corp.,US
421,670,BBG000BP6D06,shares,China Eastern Airlines,CN
422,JOUT,BBG000HCXFS4,shares,Johnson Outdoors Inc,US
423,IPGP,BBG000DCGRL8,shares,IPG Photonics Corporation,US
424,BMI,BBG000BDGHD9,shares,Badger Meter Inc,US
425,UNFI,BBG000BXB1M5,shares,United Natural Foods,US
426,STRA,BBG000GRZDV1,shares,Strategic Education Inc,US
427,KALU,BBG000PKZDX4,shares,Kaiser Aluminum Corp,US
428,QLYS,BBG000HT5G06,shares,Qualys Inc,US
429,EEFT,BBG000BMNBY1,shares,Euronet Worldwide Inc,US
430,SKT,BBG000D2JB50,shares,Tanger,US
431,PATK,BBG000BQSBB2,shares,Patrick Industries Inc,US
432,ABIO,TCS10A0JNAB6,shares,Артген,RU
433,TECH,BBG000C15114,shares,Bio-Techne,US
434,TAK,BBG000LF8708,shares,Takeda Pharmaceutical Co Ltd,JP
435,NWLI,BBG008HNHZ07,shares,National Western Life Group In,US
436,CARA,BBG001J2QYS9,shares,Cara Therapeutics Inc,US
437,BTAI,BBG00K20GVD2,shares,BioXcel Therapeutics,US
438,CASY,BBG000BF0672,shares,Casey's General Stores Inc,US
439,SLG,BBG000BVP5P2,shares,SL Green REIT,US
440,KEYS,BBG0059FN811,shares,Keysight Technologies Inc,US
441,PBH,BBG000QM0RZ4,shares,Prestige Consumer Healthcare I,US
442,NU,BBG0136WM1M4,shares,Nubank,BR
443,HII,BBG001KJ2HM9,shares,Huntington Ingalls Industries Inc,US
444,3988,BBG000NQGF05,shares,Bank of China,CN
445,UWGN,BBG008HD3V85,shares,ОВК,RU
446,NVAX,BBG000NVSBL7,shares,Novavax,US
447,INVH,BBG00FQH6BS9,shares,Invitation Homes REIT,US
448,UUUU,BBG000BXTPV3,shares,Energy Fuels,US
449,BNGO,BBG001KWWRS9,shares,"Bionano Genomics, Inc.",US
450,BHF,BBG00DYPZ4T0,shares,Brighthouse Financial,US
451,1876,BBG00P4RBR99,shares,Budweiser Brewing,
452,SKIN,BBG00XKM1DC3,shares,The Beauty Health Company,US
453,STAA,BBG000C4QB95,shares,STAAR Surgical Co,US
454,JBT,BBG000VLBCQ1,shares,John Bean Technologies,US
455,DVEC,BBG000V07CB8,shares,ДЭК,RU
456,MAA,BBG000BLMY92,shares,Mid-America Apartment REIT,US
457,CRI,BBG000CTM4J9,shares,Carter's Inc,US
458,ETLN@GS,TCS0760G1031,shares,Etalon Group PLC ГДР,RU
459,AMT,BBG000B9XYV2,shares,American Tower REIT,US
460,XEL,BBG000BCTQ65,shares,Xcel Energy,US
461,CVGW,BBG000BGPQW1,shares,Calavo Growers Inc,US
462,RTKM,BBG004S682Z6,shares,Ростелеком,RU
463,VC,BBG0016T3GQ0,shares,Visteon Corp,US
464,KMPR,BBG000H3GDJ8,shares,Kemper,US
465,COOP,BBG002V098F7,shares,Mr. Cooper Group,US
466,AGO,BBG000CQB185,shares,Assured Guaranty Ltd,BM
467,SIRI,BBG000BT0093,shares,Sirius XM Holdings Inc,US
468,FTNT,BBG000BCMBG4,shares,Fortinet Inc,US
469,BIO,BBG000DY28W5,shares,Bio-Rad Laboratories Inc,US
470,IOVA,BBG000FTLBV7,shares,Iovance Biotherapeutics Inc,US
471,ALLY,BBG000BC2R71,shares,Ally Financial Inc,US
472,AMG,BBG000C060M4,shares,Affiliated Managers Group,US
473,KOD,BBG00BVR0D02,shares,Kodiak Sciences Inc,US
474,ZAYM,TCS00A107RM8,shares,МФК Займер,RU
475,MTSS,BBG004S681W1,shares,МТС,RU
476,GLTR@GS,TCS1949E2046,shares,Globaltrans Investment PLC,RU
477,QNCX,BBG00BTK1DT8,shares,Quince Therapeutics,US
478,CSCO,BBG000C3J3C9,shares,Cisco,US
479,NFE,BBG00MJH9LC4,shares,New Fortress Energy,US
480,FSLY,BBG004NLQHL0,shares,Fastly Inc,US
481,NJR,BBG000BPZVW9,shares,New Jersey Resources Corp,US
482,CHKP,BBG000K82ZT8,shares,Check Point Software Technologies Ltd,IL
483,BILI,BBG00K7T3037,shares,Bilibili Inc,CN
484,TGKN,BBG000RG4ZQ4,shares,ТГК-14,RU
485,TRNFP,BBG00475KHX6,shares,Транснефть - привилегированные акции,RU
486,OI,BBG00R2JZG39,shares,O-I Glass,US
487,EXP,BBG000BJW241,shares,Eagle Materials Inc,US
488,SXT,BBG000J79P80,shares,Sensient Technologies Corp,US
489,PHIN,BBG01F6N6NM7,shares,PHINIA,US
490,3898,BBG000C6Z021,shares,Zhuzhou CRRC Times Electric,CN
491,WABC,BBG000DD3KP1,shares,Westamerica Bancorporation,US
492,PMT,BBG000DKDWS5,shares,PennyMac Mortgage Investment REIT,US
493,PEG,BBG000BQZMH4,shares,Public Service Enterprise Group,US
494,SYF,BBG00658F3P3,shares,Synchrony Financial,US
495,2883,BBG000PH54R1,shares,China Oilfield Services Ltd,CN
496,ADUS,BBG000NJGX84,shares,Addus HomeCare Corp,US
497,VLO,BBG000BBGGQ1,shares,Valero Energy Corporation,US
498,MOV,BBG000BL30Y9,shares,Movado Group Inc,US
499,FTRE,BBG01GZF9VY6,shares,Fortrea Holdings Inc.,US
500,HIBB,BBG000H001V3,shares,"Hibbett, Inc.",US
501,AMBA,BBG001QZCPJ2,shares,Ambarella,US
502,UTL,BBG000BW7X97,shares,Unitil Corporation,US
503,NVST,BBG00LN4B5N0,shares,Envista Holdings,US
504,CCK,BBG000BF6756,shares,Crown Holdings Inc,US
505,AFL,BBG000BBBNC6,shares,Aflac Incorporated,US
506,REG,BBG000BL46Q4,shares,Regency Centers REIT,US
507,SAM,BBG000BCZBF1,shares,Boston Beer Co Inc The,US
508,CINF,BBG000BFPK65,shares,Cincinnati Financial Corporation,US
509,ACMR,BBG00HPSG933,shares,ACM Research Inc,US
510,HAE,BBG000C7TF41,shares,Haemonetics Corp,US
511,9888,BBG00ZMFX1S5,shares,Baidu,CN
512,TNL,TBG000PV2L86,shares,Travel + Leisure Co.,US
513,MARA,BBG001K7WBT8,shares,Marathon Digital Holdings,US
514,SPB@US,BBG000DS5588,shares,Spectrum Brands Holdings Inc,US
515,JWN,BBG000G8N9C6,shares,Nordstrom,US
516,ENV,BBG000Q4NZ54,shares,Envestnet Inc,US
517,RL,BBG000BS0ZF1,shares,Ralph Lauren,US
518,RPM,BBG000DCNK80,shares,RPM International Inc,US
519,CCS,BBG006G412Q6,shares,Century Communities,US
520,FEES,BBG00475JZZ6,shares,ФСК Россети,RU
521,JNJ,BBG000BMHYD1,shares,Johnson & Johnson,US
522,OBNE,TCS00A0HG6Z8,shares,Обьнефтегазгеология - ао,RU
523,KMI,BBG0019JZ882,shares,Kinder Morgan,US
524,SMPL,BBG00GVP5JL4,shares,Simply Good Foods Co,US
525,ROKU,BBG001ZZPQJ6,shares,Roku Inc,US
526,KMX,BBG000BLMZK6,shares,CarMax,US
527,NWE,BBG000Q1NMJ4,shares,NorthWestern Energy Group,US
528,DOC,TCS4250P1030,shares,Healthpeak Properties REIT,US
529,HST,BBG000BL8804,shares,Host Hotels & Resorts REIT,US
530,TAP,BBG000BS7KS3,shares,Molson Coors Brewing,US
531,EVH,BBG005CHLM96,shares,Evolent Health Inc,US
532,MDGL,BBG000QS6NV8,shares,Madrigal Pharmaceuticals Inc,US
533,9626,BBG00ZNW65W3,shares,Bilibili,CN
534,Z,BBG009NRSWJ4,shares,Zillow Group Inc,US
535,UNM,BBG000BW2QX0,shares,Unum,US
536,PSN,BBG000C3TKY6,shares,Parsons,US
537,TTEK,BBG000BYZ0Q5,shares,Tetra Tech,US
538,PMSB,BBG000MZL0Y6,shares,Пермэнергосбыт,RU
539,SLVM,BBG0122M8031,shares,Sylvamo Corp.,US
540,MEI,BBG000BNY197,shares,Methode Electronics Inc,US
541,S,BBG00B6F2F09,shares,"SentinelOne, Inc.",US
542,NFLX,BBG000CL9VN6,shares,Netflix,US
543,ED,BBG000BHLYS1,shares,Consolidated Edison,US
544,INDB,BBG000BM0597,shares,Independent Bank Corp,US
545,MRK,BBG000BPD168,shares,Merck,US
546,BCO,BBG000DR5QP5,shares,Brink's Co,US
547,NPK,BBG000BQ4GG2,shares,National Presto Industries Inc,US
548,992,BBG000BG4QM5,shares,Lenovo,HK
549,VIPS,BBG002NLDLV8,shares,Vipshop,CN
550,ELV,BBG000BCG930,shares,Elevance Health,US
551,UMBF,BBG000DD8WX1,shares,UMB Financial,US
552,CFLT,BBG007HWGYQ5,shares,Confluent,US
553,XRAY,BBG000BX57K1,shares,Dentsply Sirona,US
554,D,BBG000BGVW60,shares,Dominion Energy Inc,US
555,GO,BBG00P4R3079,shares,Grocery Outlet Holding Corp,US
556,BRK.B,BBG000DWG505,shares,Berkshire Hathaway,US
557,URBN,BBG000BL79J3,shares,Urban Outfitters,US
558,CE,BBG000JYP7L8,shares,Celanese Corp,US
559,NXPI,BBG000BND699,shares,NXP Semiconductors NV,NL
560,CARG,BBG00HQ77DS2,shares,Cargurus Inc,US
561,AMGN,BBG000BBS2Y0,shares,Amgen,US
562,HBI,BBG000D2ZTS8,shares,Hanesbrands,US
563,ZILLP,BBG000QFB4J6,shares,ЗИЛ - акции привилегированные,RU
564,UNF,BBG000BW29L1,shares,UniFirst Corp MA,US
565,9633,BBG00WR0QPZ7,shares,Nongfu Spring,CN
566,MSRS,BBG004S687G6,shares,Россети Московский регион,RU
567,CLB,BBG01GG28WR3,shares,Core Laboratories Inc.,US
568,PFSI,BBG00LMYX123,shares,PennyMac Financial Services,US
569,2313,BBG000JSJ2F6,shares,Shenzhou International Group,HK
570,CENT,BBG000BFD605,shares,Central Garden & Pet Co,US
571,AYI,BBG000BJ5HK0,shares,Acuity Brands,US
572,SU,BBG000BRK7L6,shares,Suncor Energy,CA
573,TLS,BBG000BK34C7,shares,Telos Corporation,US
574,PHM,BBG000BR54L0,shares,PulteGroup,US
575,VRSK,BBG000BCZL41,shares,Verisk Analytics,US
576,FLYW,BBG002030NC4,shares,Flywire,US
577,EAF,BBG00KDYT8C4,shares,GrafTech International Ltd,US
578,ICFI,BBG000BBXVK5,shares,"ICF International, Inc.",US
579,ATO,BBG000BRNGM2,shares,Atmos Energy Corp,US
580,INVA,BBG000CG9XT7,shares,Innoviva Inc,US
581,SYNA,BBG000BQV1S2,shares,Synaptics Inc,US
582,1810,BBG00KVTBY91,shares,Xiaomi,CN
583,AIT,BBG000BBHHP9,shares,Applied Industrial Technologies,US
584,DVN,BBG000BBVJZ8,shares,Devon Energy,US
585,AVA,BBG000BCNF74,shares,Avista Corporation,US
586,ARWR,BBG000BRVKH0,shares,Arrowhead Pharmaceuticals Inc,US
587,NTRA,BBG001J1BQ86,shares,Natera inc,US
588,BSY,BBG000BMSRR9,shares,Bentley Systems,US
589,PFG,BBG000NSCNT7,shares,Principal Financial Group,US
590,CNXN,BBG000BX74M4,shares,PC Connection Inc,US
591,IRAO,BBG004S68473,shares,Интер РАО ЕЭС,RU
592,LNN,BBG000FJS1S8,shares,Lindsay Corporation,US
593,NATL,BBG019Y0WP19,shares,NCR Atleos Corporation,US
594,MAN,BBG000BNMHS4,shares,ManpowerGroup Inc,US
595,101,BBG000BDTCX4,shares,Hang Lung,CN
596,RYTM,BBG007DLZ601,shares,Rhythm Pharmaceuticals Inc,US
597,PYPL,BBG0077VNXV6,shares,PayPal Holdings,US
598,KTOS,BBG000C1HQ43,shares,Kratos Defense & Security Solutions,US
599,1113,BBG007WDD4B5,shares,CK Asset Holdings,CN
600,VALE,BBG000BN5LG7,shares,Vale SA,BR
601,AGNC,BBG000TJ8XZ7,shares,AGNC Investment REIT,US
602,SPSC,BBG000PZGB75,shares,SPS Commerce Inc,US
603,2600,BBG000CN0Y73,shares,Aluminum Corp of China,CN
604,PNFP,BBG000C1XKF6,shares,Pinnacle Financial Partners In,US
605,TRU,BBG002Q7J5Z1,shares,TransUnion,US
606,6865,BBG00BGJYS07,shares,Flat Glass Group,CN
607,881,BBG000QCN464,shares,Zhongsheng,CN
608,ARCH,BBG00DZB5D77,shares,Arch Coal Inc,US
609,SO,BBG000BT9DW0,shares,Southern,US
610,FORM,BBG000D1Y3P1,shares,FormFactor Inc,US
611,TFII,BBG000HJS1F0,shares,TFI International,CA
612,DOCU,BBG000N7KJX8,shares,DocuSign Inc,US
613,ZI,BBG00S1HJ3M8,shares,ZoomInfo Technologies Inc,US
614,BLMN,BBG002VZ68Y2,shares,"Bloomin Brands, Inc.",US
615,PIPR,BBG000FQXC75,shares,Piper Sandler Companies,US
616,288,BBG00699M8Q7,shares,WH Group,CN
617,AVGO,BBG00KHY5S69,shares,Broadcom,US
618,VPG,BBG000PRQ0V9,shares,Vishay Precision Group Inc,US
619,CORT,BBG000BKJG33,shares,Corcept Therapeutics Inc,US
620,REYN,BBG00QVJVYB5,shares,Reynolds Consumer Products Inc.,US
621,LLY,BBG000BNBDC2,shares,Eli Lilly & Co,US
622,NSVZ,BBG002BCQK67,shares,Наука-Связь,RU
623,CRVL,BBG000CVKZY0,shares,CorVel Corp,US
624,WDC,BBG000BWNFZ9,shares,Western Digital,US
625,GM,BBG000NDYB67,shares,General Motors,US
626,AEE,BBG000B9X8C0,shares,Ameren,US
627,MCRI,BBG000BJ0932,shares,Monarch Casino & Resort Inc,US
628,6862,BBG00LWM0XR7,shares,Haidilao,CN
629,MET,BBG000BB6KF5,shares,MetLife,US
630,GCHE,BBG000RTHVK7,shares,Группа Черкизово,RU
631,9866,BBG015PB0HH9,shares,NIO Inc,CN
632,INSM,BBG000BWM5P3,shares,Insmed,US
633,AEO,BBG000BGXZB5,shares,American Eagle Outfitters Inc,US
634,GNL,BBG004HXD0G8,shares,Global Net Lease REIT,US
635,FULC,BBG00DDY1RK9,shares,Fulcrum Therapeutics,US
636,DAY,TCS5677J1088,shares,"Dayforce, Inc.",US
637,XYL,BBG001D8R5D0,shares,Xylem,US
638,ICE,BBG000C1FB75,shares,Intercontinental Exchange,US
639,NEO,BBG000BKH263,shares,NeoGenomics Inc,US
640,KO,BBG000BMX289,shares,COCA-COLA,US
641,ANAB,BBG0026ZDHR0,shares,AnaptysBio Inc,US
642,SCI,BBG000BTHH16,shares,Service Corp International/US,US
643,FNF,BBG006N7S6K9,shares,"Fidelity National Financial, Inc.",US
644,SNGSP,BBG004S681M2,shares,Сургутнефтегаз - привилегированные акции,RU
645,TSVT,BBG00YV1J622,shares,2seventy bio,US
646,NEE,BBG000BJSBJ0,shares,NextEra Energy,US
647,1,BBG0087DLDQ6,shares,CK Hutchison Holdings,CN
648,ALGN,BBG000BRNLL2,shares,Align Technology,US
649,NVCR,BBG009XW8PY2,shares,NovoCure Limited,
650,PCTY,BBG006598YS8,shares,Paylocity Holding Corp,US
651,EVR,BBG000BP30Y0,shares,Evercore,US
652,OC,BBG000M44VW8,shares,Owens Corning,US
653,66,BBG000MKLJD1,shares,MTR Corporation,HK
654,LEN,BBG000BN5HF7,shares,Lennar,US
655,MYGN,BBG000D9H9F1,shares,Myriad Genetics Inc,US
656,WBA,BBG000BWLMJ4,shares,Walgreens Boots Alliance,US
657,TFX,BBG000BV59Y6,shares,Teleflex Inc,US
658,APO,BBG00ZNLTFK3,shares,Apollo Global Management,US
659,EXAS,BBG000CWL0F5,shares,Exact Sciences Corp,US
660,JCI,BBG000BVWLJ6,shares,Johnson Controls,US
661,TXG,BBG007WX14X0,shares,10X Genomics Inc,US
662,LYEL,BBG00RNXFN14,shares,Lyell Immunopharma,US
663,GRBK,BBG000QGYG84,shares,Green Brick Partners,US
664,SHLS,BBG00YQ82275,shares,"Shoals Technologies Group, Inc.",US
665,FHI,BBG000BP0929,shares,Federated Hermes,US
666,788,BBG00LD1QR26,shares,China Tower Corporation,CN
667,DAVA,BBG00LBLBBJ7,shares,Endava АДР,US
668,MPW,BBG000BGRB25,shares,Medical Properties REIT,US
669,MGM,BBG000C2BXK4,shares,MGM Resorts International,US
670,RIOT,BBG000BQ4512,shares,Riot Platforms,US
671,VEEV,BBG001CGB489,shares,Veeva Systems Inc,US
672,CNK,BBG000QDVR53,shares,Cinemark Holdings Inc,US
673,AFG,BBG000DPKKK0,shares,American Financial Group,US
674,KEP,BBG000BCWG90,shares,Korea Electric Power,KR
675,SMTC,BBG000DBKR53,shares,Semtech Corp,US
676,NVTK,BBG00475KKY8,shares,НОВАТЭК,RU
677,EXLS,BBG000NS3P30,shares,ExlService Holdings Inc,US
678,BYSI,BBG00F9YLST6,shares,BeyondSpring,US
679,SHAK,BBG0063GCHH8,shares,Shake Shack Inc,US
680,SON,BBG000D7HF89,shares,Sonoco Products Co,US
681,ICPT,BBG001J1QN87,shares,Intercept Pharmaceuticals Inc,US
682,AMWD,BBG000BBX657,shares,American Woodmark Corp,US
683,ENB,BBG000K5M1S8,shares,Enbridge,CA
684,UPST,BBG00PKCBY53,shares,Upstart Holdings,US
685,ORCL,BBG000BQLTW7,shares,Oracle,US
686,APPS,BBG000HZ3562,shares,Digital Turbine Inc,US
687,UNKL,BBG002YFXL29,shares,ЮУНК,RU
688,6969,BBG00VSF90M3,shares,Smoore International,CN
689,KRG,BBG000BC2KW8,shares,Kite Realty Group REIT,US
690,NKNC,BBG000GQSRR5,shares,Нижнекамскнефтехим,RU
691,NTES,BBG000BX72V8,shares,NetEase Inc,CN
692,PTON,BBG00JG0FFZ2,shares,Peloton Interactive Inc,US
693,AQUA,BBG000W325F7,shares,ИНАРКТИКА,RU
694,MGPI,BBG000BXK6C5,shares,MGP Ingredients,US
695,BEN,BBG000BD0TF8,shares,Franklin Resources,US
696,FLO,BBG000BB4D72,shares,"Flowers Foods, Inc.",US
697,GNTX,BBG000BKJ092,shares,Gentex Corporation,US
698,LVS,BBG000JWD753,shares,Las Vegas Sands Corp,US
699,BGNE,BBG00B6WF7T5,shares,BeiGene АДР,US
700,ICUI,BBG000CQV2N4,shares,ICU Medical Inc,US
701,U,BBG0056JW5G6,shares,Unity Software,US
702,VRSB,BBG000BX7DH0,shares,ТНС энерго Воронеж,RU
703,1055,BBG000BY1DP5,shares,China Southern Airlines,CN
704,MDU,BBG000BNX3R4,shares,"MDU Resources Group, Inc.",US
705,BYND,BBG003CVJP50,shares,Beyond Meat Inc,US
706,MSEX,BBG000BPGQ60,shares,Middlesex Water Company,US
707,PUMP,BBG00FYCQ352,shares,ProPetro Holding Corp,US
708,EHTH,BBG000P5JQX6,shares,eHealth Inc,US
709,1066,BBG000LFJVD9,shares,Shandong Weigao Group Medical Polymer,CN
710,CLOV,BBG00SHY90J5,shares,"Clover Health Investments, Corp.",US
711,AMN,BBG000BCT197,shares,AMN Healthcare Services Inc,US
712,CRSR,BBG00HMSHL83,shares,Corsair Gaming Inc,US
713,168,BBG000BHWDF9,shares,Tsingtao Brewery,CN
714,1024,BBG00YYT9BD6,shares,Kuaishou Technology,CN
715,RF,BBG000Q3JN03,shares,Regions Financial,US
716,GBX,BBG000CF5097,shares,Greenbrier Cos Inc,US
717,939,BBG000NW2S18,shares,China Construction Bank,CN
718,HCAT,BBG00LDPZMS6,shares,Health Catalyst,US
719,BPMC,BBG001MC8YF7,shares,Blueprint Medicines Corp,US
720,VRTS,BBG000DMFQS2,shares,Virtus Investment Partners,US
721,LITE,BBG0073F9RT7,shares,Lumentum Holdings Inc,US
722,NSC,BBG000BQ5DS5,shares,Norfolk Southern,US
723,KR,BBG000BMY992,shares,Kroger,US
724,DOCN,BBG00ZGF6SS3,shares,DigitalOcean Holdings,US
725,KIM,BBG000CN3S73,shares,Kimco Realty REIT,US
726,DAWN,BBG00V1KSN04,shares,Day One Biopharmaceuticals,US
727,1398,BBG000Q16VR4,shares,ICBC,CN
728,TENB,BBG00LBLCD02,shares,Tenable Holdings Inc,US
729,2331,BBG000PTX047,shares,Li-Ning,CN
730,CLVT,BBG00P1919G5,shares,Clarivate,GB
731,CSX,BBG000BGJRC8,shares,CSX Corp,US
732,EOG,BBG000BZ9223,shares,EOG Resources,US
733,MBNK,TCS00A0JRH43,shares,МТС-Банк,RU
734,SYK,BBG000DN7P92,shares,Stryker,US
735,LANC,BBG000BN1M88,shares,Lancaster Colony,US
736,PPC,BBG000BFLXV3,shares,Pilgrim's Pride Corp,US
737,DUOL,BBG003D4V951,shares,Duolingo,US
738,CMP,BBG000C42WS4,shares,Compass Minerals International,US
739,PEGA,BBG000H1RYG7,shares,Pegasystems Inc,US
740,PTCT,BBG000QT15P7,shares,PTC Therapeutics,US
741,BJRI,BBG000H9LNX1,shares,BJ's Restaurants Inc,US
742,MOEX,BBG004730JJ5,shares,Московская Биржа,RU
743,KAI,BBG000BKRSZ3,shares,Kadant Inc.,US
744,CNQ,BBG000HW5GX3,shares,Canadian Natural Resources,CA
745,TGT,BBG000H8TVT2,shares,Target,US
746,PAAS,BBG000C0RGY3,shares,Pan American Silver Corp,CA
747,ETR,BBG000C1FQS9,shares,Entergy Corporation,US
748,GBCI,BBG000C3KB84,shares,Glacier Ban,US
749,PBF,BBG002832GV8,shares,PBF Energy Inc,US
750,HRMY,BBG00WBPG4C2,shares,Harmony Biosciences Holdings,US
751,COFS,BBG000LLRNX3,shares,"ChoiceOne Financial Services, Inc.",US
752,USB,BBG000FFDM15,shares,US Bancorp,US
753,JHG,BBG00GSNPM07,shares,Janus Henderson Group,
754,MATX,BBG000BBK401,shares,Matson Inc,US
755,FORR,BBG000HGNYG8,shares,Forrester Research Inc,US
756,AXNX,BBG0067QVJ50,shares,Axonics,US
757,LYV,BBG000FQ7YR4,shares,Live Nation Entertainment Inc,US
758,SONY,BBG000BT7ZK6,shares,Sony Corp,JP
759,ROG,BBG000BS9HN3,shares,Rogers Corp,US
760,PCVX,BBG009PHHPL8,shares,Vaxcyte Inc,US
761,1378,BBG001DMCGS5,shares,China Hongqiao Group,
762,FE,BBG000BB6M98,shares,FirstEnergy,US
763,1093,BBG000C3N3B5,shares,CSPC Pharmaceutical,HK
764,WTRG,BBG000BRMJN6,shares,"Essential Utilities, Inc.",US
765,MGRC,BBG000BP02D2,shares,McGrath RentCorp,US
766,MUSA,BBG001Z0Q6T5,shares,Murphy USA Inc,US
767,BBY,BBG000BCWCG1,shares,Best Buy Co.,US
768,MTX,BBG000BB61F7,shares,Minerals Technologies Inc.,US
769,CCL,BBG000BF6LY3,shares,Carnival,US
770,ROLO,BBG004Z2RGW8,shares,Русолово,RU
771,LSCC,BBG000C2D1C1,shares,Lattice Semiconductor Corp,US
772,ABCB,BBG000CDY3H5,shares,Ameris Bancorp,US
773,CMCSA,BBG000BFT2L4,shares,Comcast,US
774,SSTK,BBG002ZCK2V9,shares,Shutterstock Inc,US
775,GOLD,BBG000BB07P9,shares,Barrick Gold,CA
776,836,BBG000C1DC75,shares,China Resources Power,HK
777,LASR,BBG0020BCPX5,shares,nLight Inc,US
778,CCJ,BBG000DSZTN6,shares,Cameco Corporation,CA
779,TJX,BBG000BV8DN6,shares,TJX,US
780,CARS,BBG000HGTH33,shares,Cars.com Inc,US
781,TYL,BBG000BVWZF9,shares,Tyler Technologies Inc,US
782,FOLD,BBG000PLF6N0,shares,Amicus Therapeutics,US
783,WMS,BBG000G7CDN9,shares,Advanced Drainage Systems,US
784,2238,BBG000V4V0W6,shares,Guangzhou Automobile Group,CN
785,1177,BBG000C6XDL4,shares,Sino Biopharmaceutical,CN
786,GLOB,BBG00564Y443,shares,Globant SA,AR
787,MAC,BBG000BL9C59,shares,Macerich REIT,US
788,KSS,BBG000CS7CT9,shares,Kohl's Corp,US
789,BMBL,BBG00Z6RF483,shares,Bumble Inc.,US
790,OZON,BBG00Y91R9T3,shares,Ozon Holdings PLC,RU
791,CDNS,BBG000C13CD9,shares,Cadence Design Systems,US
792,BOKF,BBG000CFZ003,shares,BOK Financial,US
793,OKTA,BBG001YV1SM4,shares,Okta Inc,US
794,NTNX,BBG001NDW1Z7,shares,Nutanix Inc,US
795,HES,BBG000BBD070,shares,Hess,US
796,CVS,BBG000BGRY34,shares,CVS Health Corporation,US
797,THO,BBG000BV6R84,shares,Thor Industries Inc,US
798,QNST,BBG000S9XXB8,shares,QuinStreet Inc,US
799,OGKB,BBG000RK52V1,shares,Вторая генерирующая компания оптового рынка электроэнергии,RU
800,IPG,BBG000C90DH9,shares,IPG,US
801,DDD,BBG000D42FJ0,shares,3D Systems Corp,US
